조사년도,해역,연안명칭,수온표층,염분표층,수소이온농도(ph) 표층,용존산소량(표층),화학적산소요구량 표층,암모니아질소 표층,아질산성 질소 표층,질산성질소 표층,용존무기질소 표층,총질소 표층,용존무기인 표층,총인 표층,규산규소 표층,부유물질 표층,클로로필 표층,투명도 표층,지역
2017,동해,거진연안,15.54,33.27,8.22,8.49,0.82,1.78,2.07,34.29,38.14,141.2,8.0,16.89,191.86,5.23,1.0,8.91,강원
2017,동해,속초연안,15.12,33.59,8.21,8.53,0.94,3.12,2.4,33.15,38.66,144.16,7.83,14.87,186.39,5.73,1.01,9.18,강원
2017,동해,양양연안,15.56,33.04,8.25,8.55,0.99,2.1,2.06,28.73,32.89,130.25,7.42,14.15,169.27,4.55,1.05,10.37,강원
2017,동해,주문진연안,15.47,33.35,8.22,8.69,0.93,3.33,2.02,29.45,34.8,127.67,8.49,15.25,162.36,5.76,1.11,9.71,강원
2017,동해,강릉연안,16.14,33.55,8.25,8.38,1.12,5.56,2.25,30.0,37.8,126.05,7.75,13.61,163.99,3.8,0.74,10.86,강원
2017,동해,동해연안,15.95,33.48,7.98,8.43,0.94,3.31,2.64,38.65,44.59,135.37,8.17,15.62,183.27,5.66,0.95,11.5,강원
2017,동해,삼척연안,15.52,33.01,8.21,8.58,1.02,3.85,2.85,53.83,60.54,176.45,9.33,17.52,205.95,4.86,1.24,11.69,강원
2017,동해,죽변연안,16.2,32.78,8.25,9.19,1.32,2.87,2.02,33.7,38.59,140.1,7.88,15.65,163.69,7.47,2.28,9.07,경북
2017,동해,후포연안,15.61,33.97,8.25,8.7,1.15,3.78,2.5,30.84,37.12,132.94,7.66,14.72,166.37,3.89,1.95,8.55,경북
2017,동해,축산연안,15.55,33.96,8.26,8.74,1.13,3.05,2.55,30.24,35.84,125.51,8.47,13.43,180.81,3.96,1.37,9.85,경북
2017,동해,강구연안,15.83,33.53,8.27,9.33,0.96,2.89,2.55,26.69,32.13,147.43,7.58,15.32,162.66,7.49,2.23,6.98,경북
2017,동해,월포연안,16.35,33.66,8.26,8.96,0.95,3.99,2.38,28.73,35.1,134.16,7.82,15.51,157.55,3.68,1.22,8.49,경북
2017,동해,영일만,16.17,33.73,8.27,9.01,1.38,5.81,3.06,30.09,38.97,159.12,7.68,17.87,156.04,6.13,2.3,6.12,경북
2017,동해,구룡포연안,18.19,33.31,8.17,8.08,1.27,2.0,3.63,50.87,56.5,144.38,12.73,18.82,254.66,4.42,1.0,8.2,경북
2017,동해,감포연안,18.4,33.49,8.17,7.98,1.1,3.37,3.66,47.42,54.44,142.74,9.91,15.07,238.74,3.75,1.15,8.36,경북
2017,남해,울산연안,17.19,32.99,8.13,7.95,1.24,38.7,7.07,118.78,164.56,307.69,15.59,25.71,309.12,7.21,2.25,4.13,울산
2017,남해,온산연안,17.38,33.22,8.12,8.43,1.43,16.16,4.79,101.6,122.55,250.93,12.42,21.25,262.21,6.19,2.45,4.37,울산
2017,남해,기장연안,15.78,33.95,8.16,7.8,0.88,5.6,7.14,75.62,88.36,160.1,14.03,20.26,309.56,5.18,1.35,3.58,부산
2017,남해,부산연안,17.63,33.28,8.19,8.1,1.3,22.56,7.16,88.61,118.33,232.68,13.08,25.64,244.82,6.18,2.37,3.45,부산
2017,남해,낙동강하구,17.67,32.81,8.2,7.9,1.66,15.03,8.21,79.86,103.09,227.8,11.5,20.4,288.35,4.89,2.32,3.4,부산
2017,남해,신항연안,17.25,32.25,8.17,8.06,1.73,52.95,10.04,191.35,254.33,375.5,14.29,24.53,348.79,9.78,1.88,1.58,경남
2017,남해,행암만,17.77,31.58,8.31,9.76,2.12,163.42,14.37,41.33,219.11,434.41,10.03,30.55,108.82,6.54,6.09,2.64,경남
2017,남해,마산만,17.03,30.71,8.24,8.62,2.27,64.87,5.92,73.64,144.43,332.09,11.62,31.99,526.9,7.71,5.13,3.17,경남
2017,남해,진해만,17.64,31.89,8.19,8.42,1.85,15.47,3.66,14.17,33.3,166.86,11.06,20.35,267.45,5.16,1.71,5.53,경남
2017,남해,거제도동안,18.06,33.08,8.21,8.31,1.32,4.21,6.2,44.61,55.03,154.46,13.71,18.11,215.02,3.83,1.7,5.76,경남
2017,남해,거제도남안,17.79,33.57,8.13,7.9,1.27,7.02,6.43,35.5,48.95,149.62,14.82,19.31,298.75,4.23,1.15,5.63,경남
2017,남해,통영연안,17.62,33.08,8.13,8.3,1.4,10.29,5.09,26.88,42.26,179.98,13.49,22.02,298.18,6.03,2.13,3.58,경남
2017,남해,통영외안,17.89,33.37,8.19,8.46,1.36,4.85,6.76,26.88,38.49,136.69,13.53,18.83,237.12,6.24,1.29,4.87,경남
2017,남해,고성자란만,18.0,33.08,8.11,7.71,1.4,11.24,2.84,9.96,24.04,139.66,13.42,18.68,352.26,6.06,1.22,4.49,경남
2017,남해,사천연안,17.56,33.06,8.15,7.62,1.18,14.04,2.81,16.51,33.36,157.32,16.21,30.62,296.19,7.49,1.91,3.86,경남
2017,남해,진주만,16.59,32.87,8.14,8.62,1.28,11.37,3.08,15.03,29.49,151.06,14.38,26.11,294.12,9.25,2.16,1.9,경남
2017,남해,남해도남안,17.84,33.15,8.21,8.18,1.24,4.99,3.95,18.48,27.41,139.89,14.26,18.75,186.69,5.77,1.05,5.8,경남
2017,남해,광양만,17.56,32.29,8.15,8.4,1.53,46.44,5.47,30.26,82.17,224.64,15.01,30.56,339.83,11.6,2.58,2.05,전남
2017,남해,여수연안,17.43,32.82,8.21,8.2,1.39,10.44,3.42,13.19,27.05,163.23,14.18,23.85,239.15,6.93,1.85,4.42,전남
2017,남해,가막만,17.0,33.0,8.18,8.6,1.42,20.36,2.47,12.09,34.93,159.82,10.11,22.78,176.32,8.51,1.61,3.09,전남
2017,남해,여자만,16.89,32.56,8.18,8.75,1.51,9.9,1.8,9.96,21.65,189.69,12.94,28.95,488.72,27.2,4.22,1.27,전남
2017,남해,고흥연안,16.77,33.02,8.18,8.18,1.4,5.64,2.63,17.87,26.13,144.77,15.53,22.91,215.79,11.85,1.66,2.4,전남
2017,남해,득량만,17.18,32.87,8.15,8.39,1.36,9.09,2.17,22.85,34.11,171.38,10.36,24.22,360.45,18.69,3.89,1.44,전남
2017,제주,제주연안,19.73,32.66,8.21,8.42,1.07,5.69,2.22,27.4,35.31,138.65,9.53,14.74,158.87,1.75,0.21,12.5,제주
2017,제주,조천연안,19.77,32.86,8.22,8.35,0.76,2.5,3.07,28.55,34.12,129.48,10.82,13.67,182.33,1.78,0.23,12.28,제주
2017,제주,성산연안,19.84,33.26,8.2,8.22,0.95,1.79,2.25,29.47,33.5,128.3,10.24,13.1,175.78,2.47,0.21,12.31,제주
2017,제주,표선연안,20.86,33.21,8.22,8.05,0.98,2.22,1.85,27.42,31.48,119.01,9.49,14.62,190.24,2.06,0.21,11.95,제주
2017,제주,서귀포연안,20.68,33.36,8.2,8.25,0.98,2.93,1.96,24.93,29.82,168.65,10.12,17.67,162.89,1.9,0.33,12.07,제주
2017,제주,대정연안,20.28,33.39,8.19,8.04,1.07,5.63,2.41,21.83,29.87,123.65,9.19,13.9,139.46,2.22,0.41,12.66,제주
2017,제주,한림연안,19.61,33.2,8.19,8.25,1.22,2.7,2.18,38.67,43.55,124.97,9.94,13.7,184.73,2.7,0.18,11.79,전남
2017,남해,완도연안,16.04,33.06,8.18,7.77,1.34,11.53,4.4,46.75,62.68,182.32,14.06,33.84,260.76,60.33,0.81,1.72,전남
2017,남해,도암만,17.11,32.64,8.15,7.69,1.3,23.58,4.16,47.63,75.37,261.1,16.58,29.32,514.73,63.43,1.83,1.28,전남
2017,남해,진도연안,16.16,32.86,8.18,8.16,1.46,1.68,3.27,51.06,56.01,181.81,18.29,30.86,250.57,78.1,1.81,1.08,전남
2017,서해,해남만,15.5,31.63,8.16,9.1,1.36,3.98,10.65,99.96,114.59,234.69,9.68,24.92,320.88,11.81,2.39,1.98,전남
2017,서해,목포연안,15.66,30.75,8.16,8.85,1.45,11.68,12.73,141.51,165.92,328.37,9.94,26.1,352.21,17.38,3.29,1.61,전남
2017,서해,신안연안,15.08,32.51,8.1,8.42,1.44,1.44,8.56,101.7,111.7,218.91,19.18,27.69,323.54,43.8,1.31,0.95,전남
2017,서해,무안연안,16.46,30.81,8.13,8.33,1.26,11.22,6.69,75.59,93.49,242.41,12.9,32.16,298.01,75.27,1.93,0.75,전남
