조사년도,해역,연안명칭,수온 표층,수온 저층,염분 표층,염분 저층,수소이온농도 표층,수소이온농도 저층,용존산소량 표층,용존산소량 저층,화학적산소요구량 표층,화학적산소요구량 저층,암모니아질소 표층,암모니아질소 저층,아질산성 질소 표층,아질산성 질소 저층,질산성질소 표층,질산성질소 저층,용존무기질소 표층,용존무기질소 저층,총질소 표층,총질소 저층,용존무기인 표층,용존무기인 저층,총인 표층,총인 저층,규산규소 표층,규산규소 저층,부유물질 표층,부유물질 저층,클로필드 표층,클로필드 저층,투명도 표층
2017,동해,거진연안,15.54,11.77,33.27,33.8,8.22,8.16,8.49,8.41,0.82,0.84,1.78,2.31,2.07,2.73,34.29,82.71,38.14,87.75,141.2,161.42,8,15.72,16.89,22.66,191.86,338.13,5.23,6.57,1,0.69,8.91
2017,동해,속초연안,15.12,12.24,33.59,33.86,8.21,8.15,8.53,8.16,0.94,0.87,3.12,2.7,2.4,2.94,33.15,78.85,38.66,84.5,144.16,184.06,7.83,14.9,14.87,22.44,186.39,301.24,5.73,5.58,1.01,0.66,9.18
2017,동해,양양연안,15.56,11.87,33.04,33.92,8.25,8.16,8.55,8.21,0.99,1.01,2.1,2.78,2.06,2.95,28.73,88.62,32.89,94.36,130.25,198.67,7.42,16.84,14.15,24.04,169.27,324.87,4.55,4.91,1.05,0.78,10.37
2017,동해,주문진연안,15.47,13.88,33.35,33.82,8.22,8.18,8.69,8.36,0.93,1.01,3.33,3.09,2.02,3.59,29.45,58.19,34.8,64.87,127.67,163.82,8.49,11.79,15.25,19.38,162.36,230.49,5.76,5.57,1.11,1.13,9.71
2017,동해,강릉연안,16.14,11.18,33.55,33.93,8.25,8.13,8.38,7.98,1.12,1.14,5.56,4.46,2.25,3.33,30,98.33,37.8,106.12,126.05,211.51,7.75,17.41,13.61,25.21,163.99,327.31,3.8,5.61,0.74,0.47,10.86
2017,동해,동해연안,15.95,12.25,33.48,34.09,7.98,7.91,8.43,8.01,0.94,1.06,3.31,3.79,2.64,4.69,38.65,84.4,44.59,92.88,135.37,191.66,8.17,15.47,15.62,22.11,183.27,316.68,5.66,4.77,0.95,0.43,11.5
2017,동해,삼척연안,15.52,11.31,33.01,34.09,8.21,8.11,8.58,7.93,1.02,1.3,3.85,4.04,2.85,4.33,53.83,111.6,60.54,119.97,176.45,216.12,9.33,19.79,17.52,25.6,205.95,381.5,4.86,4.94,1.24,0.48,11.69
2017,동해,죽변연안,16.2,12.58,32.78,34.06,8.25,8.15,9.19,8.16,1.32,1.49,2.87,2.85,2.02,4.37,33.7,81.2,38.59,88.41,140.1,170.66,7.88,15.3,15.65,21,163.69,302.28,7.47,7.72,2.28,1.26,9.07
2017,동해,후포연안,15.61,10.82,33.97,34.23,8.25,8.13,8.7,7.92,1.15,1.61,3.78,2.48,2.5,4.71,30.84,110.99,37.12,118.18,132.94,201.66,7.66,19.43,14.72,24.97,166.37,369.74,3.89,3.55,1.95,1.32,8.55
2017,동해,축산연안,15.55,8,33.96,34.15,8.26,8.06,8.74,7.96,1.13,1.74,3.05,3.99,2.55,4.57,30.24,138.01,35.84,146.56,125.51,226.39,8.47,22.95,13.43,29.77,180.81,450.63,3.96,4.21,1.37,1.22,9.85
