,해역,연안정점,관측일시,수온,수온 QC Flag,기온,기온 QC,운량,천기,지역,year,month
11542,남해,부산(20103),20130101,13.5,2,1.5,2,11%-20%,쾌청(운량:0-2),부산,2013,01
11543,남해,부산(20103),20130102,13.3,2,1.2,2,21%-30%,개임(운량:3-7),부산,2013,01
11544,남해,부산(20103),20130103,12.9,2,-6.3,2,11%-20%,쾌청(운량:0-2),부산,2013,01
11545,남해,부산(20103),20130104,12.9,2,-5.0,2,1%-10%,쾌청(운량:0-2),부산,2013,01
11546,남해,부산(20103),20130105,12.4,2,-4.0,2,1%-10%,쾌청(운량:0-2),부산,2013,01
11547,남해,부산(20103),20130106,12.4,2,3.0,2,11%-20%,쾌청(운량:0-2),부산,2013,01
11548,남해,부산(20103),20130107,12.8,2,2.0,2,1%-10%,쾌청(운량:0-2),부산,2013,01
11549,남해,부산(20103),20130108,12.4,2,2.0,2,1%-10%,쾌청(운량:0-2),부산,2013,01
11550,남해,부산(20103),20130109,12.2,2,-1.5,2,11%-20%,쾌청(운량:0-2),부산,2013,01
11551,남해,부산(20103),20130110,12.4,2,-4.0,2,1%-10%,쾌청(운량:0-2),부산,2013,01
11552,남해,부산(20103),20130111,12.2,2,1.0,2,1%-10%,쾌청(운량:0-2),부산,2013,01
11553,남해,부산(20103),20130112,12.2,2,5.0,2,1%-10%,쾌청(운량:0-2),부산,2013,01
11554,남해,부산(20103),20130113,12.7,2,6.5,2,71%-80%,흐림(운량:8-10),부산,2013,01
11555,남해,부산(20103),20130114,12.6,2,4.0,2,1%-10%,쾌청(운량:0-2),부산,2013,01
11556,남해,부산(20103),20130115,12.4,2,4.0,2,1%-10%,쾌청(운량:0-2),부산,2013,01
11557,남해,부산(20103),20130116,12.3,2,4.0,2,11%-20%,쾌청(운량:0-2),부산,2013,01
11558,남해,부산(20103),20130117,12.0,2,2.0,2,1%-10%,쾌청(운량:0-2),부산,2013,01
