"해역","연안정점","관측일시","수온","수온 QC Flag","기온","기온 QC","운량","천기"
"남해","가덕도(20201)","20130101","10.2","1","5","1","21%-30%","개임(운량:3-7)"
"남해","가덕도(20201)","20130102","","2","-3.5","2","41%-50%","개임(운량:3-7)"
"남해","가덕도(20201)","20130103","","2","-5.5","2","11%-20%","쾌청(운량:0-2)"
"남해","가덕도(20201)","20130104","9.8","2","-1.8","2","11%-20%","쾌청(운량:0-2)"
"남해","가덕도(20201)","20130105","9.9","1","0.5","1","11%-20%","쾌청(운량:0-2)"
"남해","가덕도(20201)","20130106","9.5","1","2.5","1","71%-80%","흐림(운량:8-10)"
"남해","가덕도(20201)","20130107","9.8","2","2.2","2","1%-10%","쾌청(운량:0-2)"
"남해","가덕도(20201)","20130108","9.8","2","2.5","2","1%-10%","쾌청(운량:0-2)"
"남해","가덕도(20201)","20130109","10","2","-0.8","2","21%-30%","쾌청(운량:0-2)"
"남해","가덕도(20201)","20130110","9.8","2","-1","2","1%-10%","쾌청(운량:0-2)"
"남해","가덕도(20201)","20130111","10","2","2","2","1%-10%","쾌청(운량:0-2)"
"남해","가덕도(20201)","20130112","10.4","1","5.5","1","11%-20%","쾌청(운량:0-2)"
"남해","가덕도(20201)","20130113","10.4","1","5.2","1","71%-80%","흐림(운량:8-10)"
"남해","가덕도(20201)","20130114","10.6","1","5.1","1","11%-20%","쾌청(운량:0-2)"
"남해","가덕도(20201)","20130115","9.2","2","4.7","2","71%-80%","흐림(운량:8-10)"
"남해","가덕도(20201)","20130116","10.2","2","4.8","2","11%-20%","쾌청(운량:0-2)"
"남해","가덕도(20201)","20130117","","2","0.8","2","11%-20%","쾌청(운량:0-2)"
"남해","가덕도(20201)","20130118","5","2","10.2","2","1%-10%","쾌청(운량:0-2)"
"남해","가덕도(20201)","20130119","10.4","1","6.8","1","1%-10%","쾌청(운량:0-2)"
"남해","가덕도(20201)","20130120","10.4","1","6.6","1","61%-70%","개임(운량:3-7)"
"남해","가덕도(20201)","20130121","","2","8","2","81%-90%","비"
"남해","가덕도(20201)","20130122","10.6","1","7.9","1","71%-80%","흐림(운량:8-10)"
"남해","가덕도(20201)","20130123","9.8","1","5.4","1","91%-100%","비"
"남해","가덕도(20201)","20130124","9.5","2","3","2","21%-30%","쾌청(운량:0-2)"
"남해","가덕도(20201)","20130125","9","2","-2.1","2","1%-10%","쾌청(운량:0-2)"
"남해","가덕도(20201)","20130126","9.2","1","1.5","1","1%-10%","쾌청(운량:0-2)"
"남해","가덕도(20201)","20130127","9.4","1","-2","1","1%-10%","쾌청(운량:0-2)"
"남해","가덕도(20201)","20130128","9.4","2","-0.5","2","Zero","쾌청(운량:0-2)"
"남해","가덕도(20201)","20130129","9.8","2","4","2","11%-20%","쾌청(운량:0-2)"
"남해","가덕도(20201)","20130130","10.2","2","7","2","31%-40%","개임(운량:3-7)"
"남해","가덕도(20201)","20130131","10.4","2","7.2","2","71%-80%","흐림(운량:8-10)"
"남해","가덕도(20201)","20130201","","2","6.2","2","91%-100%","비"
"남해","가덕도(20201)","20130202","10.2","1","8.8","1","11%-20%","쾌청(운량:0-2)"
"남해","가덕도(20201)","20130203","10.2","1","4.2","1","51%-60%","흐림(운량:8-10)"
"남해","가덕도(20201)","20130204","10","2","5.4","2","71%-80%","흐림(운량:8-10)"
"남해","가덕도(20201)","20130205","7","2","10.2","2","71%-80%","흐림(운량:8-10)"
"남해","가덕도(20201)","20130206","10.2","2","5.6","2","21%-30%","개임(운량:3-7)"
"남해","가덕도(20201)","20130207","","2","2.2","2","21%-30%","개임(운량:3-7)"
"남해","가덕도(20201)","20130208","9.9","2","-7.5","2","51%-60%","개임(운량:3-7)"
"남해","가덕도(20201)","20130209","8.9","1","-0.5","1","31%-40%","개임(운량:3-7)"
"남해","가덕도(20201)","20130210","9.2","1","1","1","1%-10%","쾌청(운량:0-2)"
"남해","가덕도(20201)","20130211","9.4","1","1.4","1","11%-20%","쾌청(운량:0-2)"
"남해","가덕도(20201)","20130212","9.6","2","4","2","71%-80%","흐림(운량:8-10)"
"남해","가덕도(20201)","20130213","9.8","2","2.5","2","1%-10%","쾌청(운량:0-2)"
"남해","가덕도(20201)","20130214","10.2","2","6.5","2","11%-20%","쾌청(운량:0-2)"
