WTCH_SYMD,WTCH_EYMD,JLYFS_NM,TXCT_DGRE_CD,AP_AREA_NM,AP_DN_CD,JLYFS_APRT
20130628,20130704,기타 해파리,,강원,,42.9
20130628,20130704,노무라입깃해파리,강,강원,,28.6
20130628,20130704,보름달물해파리,약,강원,,14.3
20130628,20130704,기타 해파리,,경기,,0.0
20130628,20130704,노무라입깃해파리,강,경기,,0.0
20130628,20130704,보름달물해파리,약,경기,,44.4
20130628,20130704,기타 해파리,,경남,,25.0
20130628,20130704,노무라입깃해파리,강,경남,,0.0
20130628,20130704,보름달물해파리,약,경남,,31.3
20130628,20130704,기타 해파리,,경북,,16.7
20130628,20130704,노무라입깃해파리,강,경북,,11.1
20130628,20130704,보름달물해파리,약,경북,,55.6
20130628,20130704,기타 해파리,,부산,,12.5
20130628,20130704,노무라입깃해파리,강,부산,,6.3
20130628,20130704,보름달물해파리,약,부산,,68.8
20130628,20130704,기타 해파리,,울산,,0.0
20130628,20130704,노무라입깃해파리,강,울산,,0.0
20130628,20130704,보름달물해파리,약,울산,,75.0
20130628,20130704,기타 해파리,,인천,,0.0
20130628,20130704,노무라입깃해파리,강,인천,,0.0
20130628,20130704,보름달물해파리,약,인천,,7.7
20130628,20130704,기타 해파리,,전남,,0.0
20130628,20130704,노무라입깃해파리,강,전남,,4.55
20130628,20130704,보름달물해파리,약,전남,,70.9
20130628,20130704,기타 해파리,,전북,,0.0
20130628,20130704,노무라입깃해파리,강,전북,,0.0
20130628,20130704,보름달물해파리,약,전북,,21.4
20130628,20130704,기타 해파리,,제주,,0.0
20130628,20130704,노무라입깃해파리,강,제주,,0.0
20130628,20130704,보름달물해파리,약,제주,,0.0
20130628,20130704,기타 해파리,,충남,,0.0
20130628,20130704,노무라입깃해파리,강,충남,,0.0
20130628,20130704,보름달물해파리,약,충남,,16.7
20130705,20130711,기타 해파리,,강원,,0.0
20130705,20130711,노무라입깃해파리,강,강원,,0.0
20130705,20130711,보름달물해파리,약,강원,,40.0
20130705,20130711,기타 해파리,,경기,,0.0
20130705,20130711,노무라입깃해파리,강,경기,,0.0
20130705,20130711,보름달물해파리,약,경기,,62.5
20130705,20130711,기타 해파리,,경남,,29.4
20130705,20130711,노무라입깃해파리,강,경남,,0.0
20130705,20130711,보름달물해파리,약,경남,,47.1
20130705,20130711,기타 해파리,,경북,,21.1
20130705,20130711,노무라입깃해파리,강,경북,,5.3
20130705,20130711,보름달물해파리,약,경북,,52.6
20130705,20130711,기타 해파리,,부산,,16.7
20130705,20130711,노무라입깃해파리,강,부산,,8.3
20130705,20130711,보름달물해파리,약,부산,,33.3
20130705,20130711,기타 해파리,,울산,,0.0
20130705,20130711,노무라입깃해파리,강,울산,,0.0
20130705,20130711,보름달물해파리,약,울산,,75.0
20130705,20130711,기타 해파리,,인천,,0.0
20130705,20130711,노무라입깃해파리,강,인천,,0.0
20130705,20130711,보름달물해파리,약,인천,,8.3
20130705,20130711,기타 해파리,,전남,,0.0
20130705,20130711,노무라입깃해파리,강,전남,,23.8
20130705,20130711,보름달물해파리,약,전남,,66.65
20130705,20130711,기타 해파리,,전북,,0.0
20130705,20130711,노무라입깃해파리,강,전북,,0.0
20130705,20130711,보름달물해파리,약,전북,,28.6
20130705,20130711,기타 해파리,,제주,,0.0
20130705,20130711,노무라입깃해파리,강,제주,,0.0
20130705,20130711,보름달물해파리,약,제주,,0.0
20130705,20130711,기타 해파리,,충남,,0.0
20130705,20130711,노무라입깃해파리,강,충남,,0.0
20130705,20130711,보름달물해파리,약,충남,,12.5
20130712,20130718,기타 해파리,,강원,,0.0
20130712,20130718,노무라입깃해파리,강,강원,,0.0
20130712,20130718,보름달물해파리,약,강원,,33.3
20130712,20130718,기타 해파리,,경기,,0.0
20130712,20130718,노무라입깃해파리,강,경기,,0.0
20130712,20130718,보름달물해파리,약,경기,,40.0
20130712,20130718,기타 해파리,,경남,,25.0
20130712,20130718,노무라입깃해파리,강,경남,,6.3
20130712,20130718,보름달물해파리,약,경남,,37.5
20130712,20130718,기타 해파리,,경북,,30.0
20130712,20130718,노무라입깃해파리,강,경북,,10.0
20130712,20130718,보름달물해파리,약,경북,,60.0
20130712,20130718,기타 해파리,,부산,,11.1
20130712,20130718,노무라입깃해파리,강,부산,,0.0
20130712,20130718,보름달물해파리,약,부산,,44.4
20130712,20130718,기타 해파리,,울산,,0.0
20130712,20130718,노무라입깃해파리,강,울산,,0.0
20130712,20130718,보름달물해파리,약,울산,,66.7
20130712,20130718,기타 해파리,,인천,,0.0
20130712,20130718,노무라입깃해파리,강,인천,,10.0
20130712,20130718,보름달물해파리,약,인천,,10.0
20130712,20130718,기타 해파리,,전남,,0.0
20130712,20130718,노무라입깃해파리,강,전남,,45.85
20130712,20130718,보름달물해파리,약,전남,,45.85
20130712,20130718,기타 해파리,,전북,,0.0
20130712,20130718,노무라입깃해파리,강,전북,,5.9
20130712,20130718,보름달물해파리,약,전북,,17.6
20130712,20130718,기타 해파리,,제주,,40.0
20130712,20130718,노무라입깃해파리,강,제주,,40.0
20130712,20130718,보름달물해파리,약,제주,,0.0
20130712,20130718,기타 해파리,,충남,,0.0
20130712,20130718,노무라입깃해파리,강,충남,,0.0
20130712,20130718,보름달물해파리,약,충남,,7.7
20130719,20130725,기타 해파리,,강원,,28.6
20130719,20130725,노무라입깃해파리,강,강원,,0.0
20130719,20130725,보름달물해파리,약,강원, ,71.4
20130719,20130725,기타 해파리,,경기,,0.0
20130719,20130725,노무라입깃해파리,강,경기,,0.0
20130719,20130725,보름달물해파리,약,경기,,28.6
20130719,20130725,기타 해파리,,경남,,21.1
20130719,20130725,노무라입깃해파리,강,경남,,0.0
20130719,20130725,보름달물해파리,약,경남, ,36.8
20130719,20130725,기타 해파리,,경북,,13.3
20130719,20130725,노무라입깃해파리,강,경북,,6.7
20130719,20130725,보름달물해파리,약,경북, ,73.3
20130719,20130725,기타 해파리,,부산,,10.0
20130719,20130725,노무라입깃해파리,강,부산,,10.0
20130719,20130725,보름달물해파리,약,부산,,70.0
20130719,20130725,기타 해파리,,울산,,0.0
20130719,20130725,노무라입깃해파리,강,울산,,25.0
20130719,20130725,보름달물해파리,약,울산, ,50.0
20130719,20130725,기타 해파리,,인천,,0.0
