GEOM,STD_YR,SIDO_NM,SGG_NM,BBCH_NM,LA,LO,TURIST_VARTION_VAL,JLYFS_APRT
POINT (128.918478 37.794867),2016,강원,강릉시,강문,37.794867,128.918478,779,63.64
POINT (128.9102206 37.80345579),2016,강원,강릉시,경포,37.80345579,128.9102206,-537994,63.64
POINT (129.0434453 37.6395086),2016,강원,강릉시,금진,37.6395086,129.0434453,-770,63.64
POINT (128.9529874 37.7655509),2016,강원,강릉시,남항진,37.7655509,128.9529874,-4308,63.64
POINT (129.0626627 37.605498),2016,강원,강릉시,도직,37.605498,129.0626627,-361,63.64
POINT (129.0243271 37.6892008),2016,강원,강릉시,등명,37.6892008,129.0243271,-574,63.64
POINT (128.8988879 37.8126601),2016,강원,강릉시,사근진,37.8126601,128.8988879,-780,63.64
POINT (128.8664103 37.82181),2016,강원,강릉시,사천,37.82181,128.8664103,8577,63.64
POINT (128.8684982 37.8435195),2016,강원,강릉시,사천진,37.8435195,128.8684982,11931,63.64
POINT (128.9377878 37.780263),2016,강원,강릉시,송정,37.780263,128.9377878,2772,63.64
POINT (128.8937062 37.8164765),2016,강원,강릉시,순긋,37.8164765,128.8937062,-2066,63.64
POINT (128.9481146 37.77218875),2016,강원,강릉시,안목,37.77218875,128.9481146,-8555,63.64
POINT (128.9735947 37.7252279),2016,강원,강릉시,안인,37.7252279,128.9735947,-11497,63.64
POINT (128.8530771 37.8580844),2016,강원,강릉시,연곡,37.8580844,128.8530771,-45075,63.64
POINT (128.9833 37.7418432),2016,강원,강릉시,염전,37.7418432,128.9833,-7135,63.64
POINT (128.8449746 37.8689423),2016,강원,강릉시,영진,37.8689423,128.8449746,-12934,63.64
POINT (129.0476729 37.6274136),2016,강원,강릉시,옥계,37.6274136,129.0476729,-18540,63.64
POINT (129.032672 37.691459),2016,강원,강릉시,정동진,37.691459,129.032672,-108096,63.64
POINT (128.8173053 37.9098331),2016,강원,강릉시,주문진,37.9098331,128.8173053,-67193,63.64
POINT (128.8718901 37.8441613),2016,강원,강릉시,하평,37.8441613,128.8718901,16006,63.64
POINT (128.4996952 38.3680473),2016,강원,고성군,가진,38.3680473,128.4996952,-3335,63.64
POINT (128.4632173 38.4466012),2016,강원,고성군,거진1,38.4466012,128.4632173,1104,63.64
POINT (128.4552051 38.44429628),2016,강원,고성군,거진11,38.44429628,128.4552051,-18814,63.64
POINT (128.5100407 38.355459),2016,강원,고성군,공현진1,38.355459,128.5100407,-2628,63.64
POINT (128.5111788 38.35044169),2016,강원,고성군,공현진2,38.35044169,128.5111788,4513,63.64
POINT (128.546325 38.29085824),2016,강원,고성군,교암,38.29085824,128.546325,-646,63.64
POINT (128.4248684 38.5038112),2016,강원,고성군,대진1,38.5038112,128.4248684,1134,63.64
POINT (128.4297669 38.49644474),2016,강원,고성군,대진5,38.49644474,128.4297669,-1426,63.64
POINT (128.4131141 38.5184505),2016,강원,고성군,마차진,38.5184505,128.4131141,114992,63.64
POINT (128.3766965 38.5398032),2016,강원,고성군,명파,38.5398032,128.3766965,2341,63.64
POINT (128.5496006 38.2963639),2016,강원,고성군,문암2,38.2963639,128.5496006,-930,63.64
POINT (128.462264 38.42288836),2016,강원,고성군,반암,38.42288836,128.462264,-2552,63.64
POINT (128.5421096 38.3027743),2016,강원,고성군,백도,38.3027743,128.5421096,14347,63.64
POINT (128.523492 38.3287686),2016,강원,고성군,봉수대,38.3287686,128.523492,-16254,63.64
POINT (128.565967 38.2528608),2016,강원,고성군,봉포,38.2528608,128.565967,-13312,63.64
POINT (128.5126188 38.3134334),2016,강원,고성군,삼포,38.3134334,128.5126188,-42484,63.64
POINT (128.5126188 38.3134334),2016,강원,고성군,삼포2,38.3134334,128.5126188,-40113,63.64
POINT (128.5279269 38.33069161),2016,강원,고성군,송지호,38.33069161,128.5279269,-125181,63.64
POINT (128.5279269 38.33069161),2016,강원,고성군,송지호오토캠핑장,38.33069161,128.5279269,1470,63.64
POINT (128.5537125 38.27515),2016,강원,고성군,아야진,38.27515,128.5537125,-14009,63.64
POINT (128.5424323 38.3071759),2016,강원,고성군,자작도,38.3071759,128.5424323,1515,63.64
POINT (128.560682 38.25996492),2016,강원,고성군,천진,38.25996492,128.560682,-9923,63.64
POINT (128.5460466 38.2682047),2016,강원,고성군,청간,38.2682047,128.5460466,-1638,63.64
POINT (128.4292884 38.49287625),2016,강원,고성군,초도,38.49287625,128.4292884,3159,63.64
POINT (128.5586676 38.2460507),2016,강원,고성군,켄싱턴리조트,38.2460507,128.5586676,25575,63.64
POINT (128.4437716 38.4636658),2016,강원,고성군,화진포,38.4636658,128.4437716,-179357,63.64
POINT (128.6951533 34.97650849),2016,강원,동해시,노봉,34.97650849,128.6951533,-32227,63.64
POINT (128.4248684 38.5038112),2016,강원,동해시,대진,38.5038112,128.4248684,-109155,63.64
POINT (129.0896615 37.5922384),2016,강원,동해시,망상,37.5922384,129.0896615,-4575,63.64
POINT (129.0896615 37.5922384),2016,강원,동해시,망상리조트,37.5922384,129.0896615,-9790,63.64
POINT (129.1142623 37.5601309),2016,강원,동해시,어달,37.5601309,129.1142623,-89311,63.64
POINT (129.1601364 37.4793847),2016,강원,동해시,추암,37.4793847,129.1601364,107556,63.64
POINT (129.2671471 37.3255657),2016,강원,삼척시,궁촌,37.3255657,129.2671471,268,63.64
POINT (129.240461 37.3850419),2016,강원,삼척시,덕산,37.3850419,129.240461,553,63.64
POINT (129.2304151 37.3842057),2016,강원,삼척시,맹방,37.3842057,129.2304151,227,63.64
POINT (129.2930224 37.3023131),2016,강원,삼척시,문암,37.3023131,129.2930224,913,63.64
POINT (129.2434952 37.3587041),2016,강원,삼척시,부남,37.3587041,129.2434952,193,63.64
POINT (129.164595 37.4479795),2016,강원,삼척시,삼척,37.4479795,129.164595,97824,63.64
POINT (129.2078892 37.4050833),2016,강원,삼척시,상맹방,37.4050833,129.2078892,133,63.64
POINT (129.1910027 37.4261688),2016,강원,삼척시,오분,37.4261688,129.1910027,316,63.64
POINT (129.3055867 37.2893427),2016,강원,삼척시,용화,37.2893427,129.3055867,255,63.64
POINT (129.2712626 37.3004606),2016,강원,삼척시,원평,37.3004606,129.2712626,615,63.64
POINT (129.3139976 37.2395383),2016,강원,삼척시,임원,37.2395383,129.3139976,4442,63.64
POINT (129.1761481 37.4638711),2016,강원,삼척시,작은후진,37.4638711,129.1761481,190,63.64
POINT (129.3183794 37.2864479),2016,강원,삼척시,장호,37.2864479,129.3183794,96316,63.64
POINT (129.1827457 37.446606),2016,강원,삼척시,증산,37.446606,129.1827457,2960,63.64
POINT (129.2304151 37.3842057),2016,강원,삼척시,하맹방,37.3842057,129.2304151,319,63.64
POINT (129.2091128 37.4035527),2016,강원,삼척시,한재밑,37.4035527,129.2091128,434,63.64
POINT (128.5997638 38.2136429),2016,강원,속초시,등대,38.2136429,128.5997638,-26798,63.64
